TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201500A,485510,Charter bus industry,64,$29619560.00
200700A,235310,Electrical Contractors (1997 NAICS),1373,$350669126.79
201300A,326000,Plastics & rubber products mfg.,146,$107556204.00
201700A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",20,$1013602.00
201500A,561440,Collection agencies,137,$81460239.00
200800A,237210,Land subdivision,215,$418615058.00
201500A,485210,Interurban & rural bus transportation,47,$24567238.00
201400A,237210,Land subdivision,282,$568685908.00
201500A,445210,Meat markets,170,$137492827.00
200500A,424500,Farm product raw materials,36,$45843541.00
201200A,622000,Hospitals,193,$1061807315.00
201700A,445230,Fruit & vegetable markets,3,$0.00
201000A,711210,Spectator sports (including professional sports clubs & racetrack operations),285,$598666883.68
201500A,233210,Single Family Housing Construction (1997 NAICS),9972,$2485388847.97
200500A,424400,Grocery & related products,1054,$4417799911.29
201700A,443120,Computer & software stores,38,$1204533.00
201100A,445230,Fruit & vegetable markets,488,$1274148692.80
201600A,541510,Computer systems design & related services,3170,$1445852583.67
201200A,531310,Real estate property managers,2977,$927659413.10
200600A,713100,Amusement parks & arcades,24,$866932.00
201100A,323100,Printing & related support activities,956,$422612889.15
200700A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",564,$87706455.28
200600A,561500,Travel arrangement & reservation services,6117,$515546530.80
201700A,423800,"Machinery, equipment, & supplies",10,$2884201.00
200900A,451220,"Prerecorded tape, compact disc, & record stores",317,$134550957.00
201300A,623000,Nursing & residential care facilities,571,$738288660.00
201200A,492000,Couriers & messengers,1061,$57179643.50
201000A,512200,Sound recording industries,950,$231003413.79
200900A,339110,Medical equipment & supplies mfg.,290,$121585639.00
201400A,423930,Recyclable materials,370,$280288107.00
200600A,541330,Engineering services,784,$387219441.25
200700A,621510,Medical & diagnostic laboratories,223,$477145973.73
201400A,424990,Other miscellaneous nondurable goods,3591,$1812045147.51
201400A,523900,Other financial investment activities (including investment advice),2384,$6264920610.64
200500A,811410,Home & garden equipment & appliance repair & maintenance,69,$3111483.00
200900A,811490,Other personal &  household goods repair & maintenance,846,$27430618.00
200600A,888888,Medical Marijuana Collective,100,$480875.00
200700A,424700,Petroleum & petroleum products,53,$1896019650.00
200700A,523140,Commodity contracts brokers,20,$24777956.00
200900A,423200,Furniture &  home furnishing,404,$251224724.00
201100A,561600,Investigation & security services,771,$387819937.36
200700A,442110,Furniture stores,1015,$633899906.00
200600A,518111,Internet service providers,56,$38892954.00
201200A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),971,$634903768.39
201100A,523130,Commodity contracts dealers,42,$9019832.28
200900A,561410,Document preparation services,108,$10805959.60
200500A,445220,Fish & seafood markets,7,$4457276.00
201200A,722410,Drinking places (alcoholic beverages),228,$56616602.00
201500A,445310,"Beer, wine & liquor stores",682,$263224123.00
200900A,235210,Painting and Wall Covering Contractors (1997 NAICS),1780,$503571984.00
200500A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",186,$85365558.57
201300A,712100,"Museums, historical sites, & similar institutions",14,$10654454.00
201700A,425120,Wholesale trade agents & brokers,39,$25707259.00
200900A,337000,Furniture & related product mfg.,192,$108887962.00
200700A,518111,Internet service providers,92,$60379248.00
201100A,448120,Women's clothing stores,402,$150491583.00
200500A,453310,Used merchandise stores,264,$31558361.51
201200A,541340,Drafting services,151,$3011917.00
201400A,484110,"General freight trucking, local",797,$151707313.00
201100A,235310,Electrical Contractors (1997 NAICS),2098,$530797882.23
201500A,233320,Commercial and Institutional Building Construction (1997 NAICS),843,$985073307.43
200900A,448310,Jewelry stores,867,$199932863.00
201200A,722110,Full-service restaurants,6231,$3974147404.96
201000A,424300,"Apparel, piece goods, & notions",3066,$2294554437.56
201400A,445230,Fruit & vegetable markets,507,$1483551980.00
200600A,235930,Excavation Contractors (1997 NAICS),42,$69315054.00
201000A,621111,Offices of physicians (except mental health specialists),4744,$2798119174.99
200800A,446110,Pharmacies & drug stores,481,$2907802407.00
201000A,532210,Consumer electronics & appliances rental,623,$511421937.00
200900A,333000,Machinery mfg.,77,$55770301.85
200500A,561300,Employment services,5486,$1084825615.69
200800A,235510,Carpentry Contractors (1997 NAICS),459,$183204262.00
200700A,561790,Other services to buildings & dwellings,828,$24570787.50
200800A,448210,Shoe stores,318,$209704289.00
200500A,315000,Apparel mfg.,1301,$413837150.73
200700A,115210,Support activities for animal production (including farriers),152,$14278749.00
200500A,211110,Oil & gas extraction,14,$15836552.00
201300A,811420,Reupholstery & furniture repair,227,$23212480.00
201300A,441110,New car dealers,352,$3907961895.00
201700A,541920,Photographic services,146,$3540498.00
200800A,234110,Highway and Street Construction (1997 NAICS),31,$143822870.00
201100A,561110,Office administrative services,1341,$650202318.74
201400A,311600,Animal Slaughtering and Processing,16,$26778643.00
200900A,562000,Waste management & remediation services,156,$181351594.00
201400A,512100,Motion picture & video industries (except video rental),9969,$8202348621.90
201400A,441300,"Automotive parts, accessories, & tire stores",1161,$259197832.66
201600A,453930,Manufacture (mobile) home dealers,60,$28588648.00
201700A,441221,Motorcycle dealers,3,$0.00
201000A,323100,Printing & related support activities,919,$432566375.54
201700A,512100,Motion picture & video industries (except video rental),529,$42991394.73
201300A,446120,"Cosmetics, beauty supplies, & perfume stores",1149,$261467491.86
200800A,722410,Drinking places (alcoholic beverages),216,$52107916.00
201700A,314000,Textile product mills,6,$122245.00
201100A,561730,Landscaping services,2996,$100376701.00
200800A,445230,Fruit & vegetable markets,445,$1214482036.00
201700A,531310,Real estate property managers,119,$8867898.00
200600A,211110,Oil & gas extraction,22,$43599409.00
201400A,334000,Computer & electronic product mfg.,1203,$605691712.54
201600A,541940,Veterinary services,284,$311868787.94
200500A,621399,Offices of all other miscellaneous health practitioners,1977,$343533232.12
201100A,624310,Vocational rehabilitation services,58,$14509869.00
201700A,532100,Automotive equipment rental & leasing,12,$28411634.00
201700A,561110,Office administrative services,89,$4697787.00
201200A,453310,Used merchandise stores,216,$36615714.00
201600A,233210,Single Family Housing Construction (1997 NAICS),9509,$4798629890.73
200900A,339900,Other miscellaneous mfg.,1153,$378294313.07
201700A,722211,Limited-service eating places,48,$10332352.00
201200A,523130,Commodity contracts dealers,47,$10005240.00
200500A,512200,Sound recording industries,485,$145758480.30
201300A,518210,"Data processing, hosting, & related services",733,$681345355.75
201400A,711300,"Promoters of performing arts, sports, & similar events",2204,$1494569067.37
201100A,531390,Other activities related to real estate,714,$178148947.76
201100A,238110,Poured concrete foundation & structure contractors,207,$128144160.00
201500A,337000,Furniture & related product mfg.,447,$194168508.00
201300A,423700,"Hardware, & plumbing & heating equipment  & supplies",212,$345663777.00
201700A,335000,"Electrical equipment, appliance, & component mfg.",12,$11713110.00
201000A,423100,Motor vehicle & motor vehicle parts & supplies,899,$1384571461.80
200600A,621400,Outpatient  care centers,183,$138178043.00
201500A,541510,Computer systems design & related services,3327,$888519242.23
201000A,523140,Commodity contracts brokers,25,$23222821.00
200600A,722300,Special food services (including food service contractors & caterers),236,$131654509.58
201000A,561740,Carpet & upholstery cleaning services,513,$30045810.00
201400A,622000,Hospitals,230,$1203230791.00
200700A,445100,Grocery stores (including supermarkets & convenience stores without gas),1341,$4375189323.00
200600A,621510,Medical & diagnostic laboratories,163,$331540783.60
201400A,541930,Translation & interpretation services,312,$42301605.00
201700A,812330,Linen & uniform supply,3,$0.00
201200A,453220,"Gift, novelty, & souvenir stores",1091,$163742941.00
200600A,561450,Credit bureaus,13,$6527554.00
201300A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",122,$33839494.00
201000A,321000,Wood product mfg.,125,$11025284.00
201000A,623000,Nursing & residential care facilities,443,$606355145.00
201600A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",128,$60168279.00
201400A,541920,Photographic services,3008,$170954451.43
201200A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",1073,$169514425.13
201100A,624100,Individual & family services,915,$61501702.87
200800A,423990,Other miscellaneous durable goods,1421,$612429852.00
201300A,424600,Chemical & allied products,225,$1520433199.00
200600A,812310,Coin-operated laundries & drycleaners,402,$74058122.12
201000A,485410,School & employee bus transportation,16,$85.00
201600A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,361,$289045442.00
201300A,523900,Other financial investment activities (including investment advice),2175,$5895369340.02
201100A,314000,Textile product mills,455,$284637003.13
201700A,448190,Other Clothing Stores,21,$508165.00
200600A,524290,Other insurance related activities,66,$71109179.00
200600A,512100,Motion picture & video industries (except video rental),3165,$3273935694.10
201300A,541350,Building inspection services,120,$4779623.96
201100A,541100,Legal services,6119,$7712169629.63
200600A,446120,"Cosmetics, beauty supplies, & perfume stores",235,$112949875.26
201500A,424920,"Books, periodicals, & newspapers",610,$479968546.52
201300A,424100,Paper & paper products,239,$247387027.00
201500A,487000,Scenic & sightseeing transportation,285,$29834320.00
201300A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",260,$36388614.00
201700A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",7,$330366.00
201100A,424990,Other miscellaneous nondurable goods,3113,$1524891384.59
200800A,445220,Fish & seafood markets,32,$54634772.00
201000A,448110,Men's clothing stores,358,$71164629.00
201500A,532210,Consumer electronics & appliances rental,652,$508096511.93
201600A,811210,Electronic & precision equipment repair & maintenance,437,$60738441.00
200700A,311600,Animal Slaughtering and Processing,6,$22301732.00
201100A,511000,Publishing industries (except Internet),248,$208674988.80
200700A,452000,General merchandise stores,3134,$2670788325.00
200900A,451211,Book stores,323,$117672806.00
200600A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",275,$120113443.00
201400A,811410,Home & garden equipment & appliance repair & maintenance,344,$21643288.95
201100A,561210,Facilities support (management) services,182,$77325659.00
200700A,813000,"Religious, grantmaking, civic, professional, & similar organizations",79,$3460295.00
200500A,423100,Motor vehicle & motor vehicle parts & supplies,844,$1529625606.84
200900A,323100,Printing & related support activities,864,$533912967.00
201500A,423400,Professional & commercial equipment & supplies,1060,$1211953255.95
201400A,712100,"Museums, historical sites, & similar institutions",14,$10180666.97
200500A,541990,"All other professional, scientific, & technical services",1810,$155001252.85
201300A,235510,Carpentry Contractors (1997 NAICS),510,$145814539.00
200900A,,,238473,$53072021587.10
200900A,325100,Basic chemical mfg.,19,$26937688.41
201300A,454210,Vending machine operators,271,$55252030.00
200600A,532400,Commercial & industrial machinery & equipment rental & leasing,178,$456154840.10
201600A,541380,Testing laboratories,106,$44583774.90
201200A,115210,Support activities for animal production (including farriers),256,$20804070.00
200600A,541700,Scientific research & development services,63,$15594898.37
201600A,311600,Animal Slaughtering and Processing,18,$23553897.00
201500A,441110,New car dealers,352,$4939396669.29
201700A,448130,Children's & infants' clothing stores,10,$53434.00
200700A,446190,Other health & personal care stores,208,$113719403.00
201300A,523210,Securities & commodity exchanges,14,$115384171.00
201700A,423100,Motor vehicle & motor vehicle parts & supplies,14,$1179843.00
201500A,531210,Offices of real estate agents & brokers,2279,$1063115378.77
201300A,445310,"Beer, wine & liquor stores",606,$219647024.25
201100A,722211,Limited-service eating places,1013,$363275158.46
201300A,811410,Home & garden equipment & appliance repair & maintenance,320,$19059603.94
201400A,516110,Internet publishing & broadcasting,950,$172082182.10
200900A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2769,$1065388733.21
201000A,532230,Video tape & disc rental,203,$9876511.00
200500A,812112,Beauty salons,48,$7043553.00
200800A,621210,Offices of dentists,120,$29410190.51
200500A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5549,$2053031066.34
200900A,424500,Farm product raw materials,49,$84424614.00
201100A,523900,Other financial investment activities (including investment advice),1752,$5882252752.00
201300A,445210,Meat markets,123,$83591668.00
200600A,453910,Pet & pet supplies stores,47,$44954500.00
201700A,446190,Other health & personal care stores,23,$1562211.00
201600A,721310,Rooming & boarding houses,320,$344205681.48
201500A,441300,"Automotive parts, accessories, & tire stores",1268,$265086784.00
201700A,451130,"Sewing, needlework, & piece goods stores",2,$0.00
200700A,443112,"Radio, television, & other electronics stores",586,$296235459.00
201700A,424930,"Flower, nursery stock, & florists' supplies",12,$293041.00
201600A,541340,Drafting services,201,$8954647.00
201700A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",89,$10647218.00
201000A,518111,Internet service providers,168,$139049521.00
201300A,531310,Real estate property managers,3295,$1118850817.80
200500A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,107,$27834224.95
200700A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),536,$169301147.00
201300A,541310,Architectural services,1185,$598700204.88
201100A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",111,$32735742.00
201400A,713100,Amusement parks & arcades,30,$20847082.00
201300A,234120,Bridge and Tunnel Construction (1997 NAICS),93,$31500031.00
200600A,812113,Nail salons,1322,$42086126.20
201600A,541213,Tax preparation services,1468,$233483328.00
200700A,561450,Credit bureaus,15,$7641139.00
200600A,324100,Petroleum & coal products mfg.,6,$10068654.00
200600A,312000,Beverage & tobacco product mfg.,10,$33209109.00
200700A,235810,Water Well Drilling Contractors (1997 NAICS),7,$3636722.00
200700A,561730,Landscaping services,2319,$81079142.00
200900A,531210,Offices of real estate agents & brokers,1701,$692287781.40
201600A,424990,Other miscellaneous nondurable goods,3377,$1683733133.83
200600A,315000,Apparel mfg.,1591,$528254318.85
200500A,523900,Other financial investment activities (including investment advice),762,$2993552171.24
201700A,812930,Parking lots & garages,12,$105996.00
201000A,451110,Sporting goods stores,286,$148003519.00
201500A,516110,Internet publishing & broadcasting,997,$193054183.96
201200A,813000,"Religious, grantmaking, civic, professional, & similar organizations",127,$6700424.00
200800A,561110,Office administrative services,1036,$496201187.00
201500A,811120,"Automotive body, paint, interior, & glass repair",705,$175003411.00
201100A,424500,Farm product raw materials,51,$101621967.00
201400A,524290,Other insurance related activities,245,$112663540.00
201700A,423910,Sporting & recreational goods & supplies,5,$978159.00
200600A,621310,Offices of chiropractors,453,$67350695.00
200700A,523120,Securities brokers,107,$1154366083.00
200500A,237210,Land subdivision,99,$429288257.00
200900A,424300,"Apparel, piece goods, & notions",3034,$2347591296.06
200600A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,135,$35239644.00
200900A,624310,Vocational rehabilitation services,46,$12661315.00
201400A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",728,$1332055389.29
200700A,423400,Professional & commercial equipment & supplies,833,$1549477613.00
200700A,485300,Taxi & limousine service,293,$1191381.00
201200A,522200,Nondepository credit intermediation (including sales financing & consumer lending),447,$177844499.59
200800A,423910,Sporting & recreational goods & supplies,166,$88179890.00
201600A,424700,Petroleum & petroleum products,62,$1126467765.00
200800A,541920,Photographic services,1618,$169701163.00
201300A,532220,Formal wear & costume rental,137,$33207103.00
200700A,233320,Commercial and Institutional Building Construction (1997 NAICS),267,$492535456.00
200500A,444190,Other building materials dealers,291,$978314517.00
201500A,541219,Other accounting services,3421,$974367887.72
201300A,335000,"Electrical equipment, appliance, & component mfg.",484,$150500063.71
201500A,532310,General rental centers,104,$34285408.00
200500A,312000,Beverage & tobacco product mfg.,5,$33260819.00
200700A,531320,Offices of real estate appraisers,89,$6878814.82
201200A,423200,Furniture &  home furnishing,454,$222367614.00
201300A,444130,Hardware stores,440,$645964858.00
200700A,722110,Full-service restaurants,4933,$3420954111.85
200700A,624200,"Community food & housing, & emergency & other relief services",53,$253628.00
201400A,454210,Vending machine operators,289,$57178925.45
201500A,517000,Telecommunications,196,$1036430142.00
201700A,325100,Basic chemical mfg.,1,$0.00
200800A,541330,Engineering services,932,$508718129.91
201600A,448140,Family clothing stores,1124,$729396630.00
200700A,561710,Exterminating & pest control services,158,$54512860.00
201400A,621210,Offices of dentists,463,$121006867.37
201200A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),757,$119666236.00
201500A,442200,Home furnishings stores,855,$687614168.00
201600A,622000,Hospitals,246,$1279357048.00
200600A,448210,Shoe stores,290,$204552022.00
201100A,448110,Men's clothing stores,360,$83489068.00
200800A,448120,Women's clothing stores,252,$44675445.00
200600A,541600,"Management, scientific, & technical consulting services",5267,$1178683830.75
201000A,812310,Coin-operated laundries & drycleaners,494,$75706182.00
201700A,621210,Offices of dentists,8,$434897.00
201500A,541214,Payroll services,113,$29632450.00
200700A,331000,Primary metal mfg.,21,$15369986.00
201200A,485990,Other transit & ground passenger transportation,239,$6139214.00
201300A,522300,Activities related to credit intermediation (including loan brokers),715,$388641800.00
201400A,448310,Jewelry stores,1319,$286333028.00
201700A,441120,Used car dealers,38,$440872.00
201300A,237210,Land subdivision,263,$735213469.00
200500A,423300,Lumber & other construction materials,257,$791452923.30
201400A,812220,Cemeteries & crematories,18,$19777127.00
201000A,451220,"Prerecorded tape, compact disc, & record stores",310,$102842636.00
201100A,487000,Scenic & sightseeing transportation,158,$22956510.00
200900A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",58,$6551520.00
200800A,532400,Commercial & industrial machinery & equipment rental & leasing,263,$642437222.67
200600A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),290,$71588870.94
201700A,233320,Commercial and Institutional Building Construction (1997 NAICS),30,$1967252.00
200600A,424930,"Flower, nursery stock, & florists' supplies",226,$224659096.00
200500A,423700,"Hardware, & plumbing & heating equipment  & supplies",134,$292594523.34
201600A,448310,Jewelry stores,1288,$322324877.00
200700A,722300,Special food services (including food service contractors & caterers),381,$143077798.00
200800A,424800,"Beer, wine, & distilled alcoholic beverage",57,$28447037.00
201000A,812111,Barber shops,2371,$70240246.93
201500A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",6092,$608292606.21
201100A,812210,Funeral homes & funeral services,55,$18924210.00
201100A,621111,Offices of physicians (except mental health specialists),4922,$2851156942.27
201400A,448130,Children's & infants' clothing stores,275,$66951789.00
200900A,561450,Credit bureaus,21,$7625020.00
201000A,331000,Primary metal mfg.,43,$19256794.00
201000A,492000,Couriers & messengers,825,$30455377.00
201300A,531210,Offices of real estate agents & brokers,2011,$854683579.99
201100A,238990,All other specialty trade contractors,2783,$602751256.00
200700A,448110,Men's clothing stores,281,$78381527.00
200900A,812112,Beauty salons,235,$14812442.00
200900A,334000,Computer & electronic product mfg.,740,$309471215.00
201700A,331000,Primary metal mfg.,3,$0.00
201200A,812310,Coin-operated laundries & drycleaners,530,$79054520.00
201600A,541920,Photographic services,3057,$203658869.14
200700A,711210,Spectator sports (including professional sports clubs & racetrack operations),100,$497853036.58
200900A,561710,Exterminating & pest control services,179,$54340018.00
201500A,532220,Formal wear & costume rental,139,$40714351.07
201500A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1210,$821211962.37
201400A,442200,Home furnishings stores,792,$652607498.68
200500A,445310,"Beer, wine & liquor stores",376,$109725718.29
201300A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1079,$666345187.43
201300A,561500,Travel arrangement & reservation services,5901,$876112711.88
201300A,492000,Couriers & messengers,1263,$63754823.44
200900A,532230,Video tape & disc rental,160,$5984608.00
201500A,524210,Insurance agencies & brokerages,1208,$594073009.36
200700A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),315,$92694500.00
200900A,453220,"Gift, novelty, & souvenir stores",941,$147309758.00
200900A,452000,General merchandise stores,3452,$2555669379.73
201400A,324100,Petroleum & coal products mfg.,21,$70610035.00
201400A,561730,Landscaping services,3809,$123877082.60
200700A,531210,Offices of real estate agents & brokers,1520,$911024259.95
200800A,532100,Automotive equipment rental & leasing,263,$634405429.00
201300A,234110,Highway and Street Construction (1997 NAICS),41,$228410341.00
200600A,522300,Activities related to credit intermediation (including loan brokers),401,$120172606.44
201500A,812930,Parking lots & garages,1901,$534632919.48
201600A,424210,Drugs & druggists' sundries,216,$704337616.44
200600A,235310,Electrical Contractors (1997 NAICS),1169,$294374559.08
201300A,424950,"Paint, varnish, & supplies",65,$100967436.00
201500A,811420,Reupholstery & furniture repair,255,$31861106.00
200600A,441222,Boat dealers,32,$16922666.00
200900A,451120,"Hobby, toy, & game stores",171,$92900027.00
201200A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",4364,$382380443.17
200500A,453220,"Gift, novelty, & souvenir stores",695,$123330113.07
201000A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2985,$1085258514.79
201500A,621310,Offices of chiropractors,729,$82901708.00
201700A,323100,Printing & related support activities,31,$677976.00
201200A,621330,Offices of mental health practitioners (except physicians),851,$70688907.25
201200A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",784,$183029394.14
201000A,235410,Masonry and Stone Contractors (1997 NAICS),56,$16705530.00
201000A,811120,"Automotive body, paint, interior, & glass repair",416,$106916695.00
200800A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",257,$89492207.00
201200A,722300,Special food services (including food service contractors & caterers),1377,$279389869.23
201300A,211110,Oil & gas extraction,89,$250387832.55
201000A,443130,Camera & photographic supplies stores,95,$12582291.00
201300A,713100,Amusement parks & arcades,30,$21217255.00
201400A,443111,Household appliance stores,423,$231826924.00
201300A,561621,Security Systems Services (except locksmiths),2,$0.00
200500A,331000,Primary metal mfg.,11,$9483549.00
200800A,561500,Travel arrangement & reservation services,6171,$636155796.93
201600A,445310,"Beer, wine & liquor stores",677,$270314497.00
200800A,339110,Medical equipment & supplies mfg.,230,$108752168.00
201200A,445310,"Beer, wine & liquor stores",564,$193187776.73
200800A,561720,Janitorial services,5672,$271793879.37
200800A,444190,Other building materials dealers,341,$1154456373.00
201100A,711510,"Independent artists, writers, & performers",10963,$1040333112.30
201600A,453310,Used merchandise stores,232,$48327280.00
200900A,888888,Medical Marijuana Collective,238,$34913089.45
201000A,445100,Grocery stores (including supermarkets & convenience stores without gas),1415,$4914742693.00
200600A,451140,Musical instrument & supplies stores,110,$54625054.00
200600A,423100,Motor vehicle & motor vehicle parts & supplies,857,$1574151079.65
201600A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),170,$597553942.00
200900A,523130,Commodity contracts dealers,36,$3566142.26
201700A,234120,Bridge and Tunnel Construction (1997 NAICS),2,$0.00
201500A,237210,Land subdivision,316,$558653159.16
200600A,524210,Insurance agencies & brokerages,652,$458599611.91
201700A,334000,Computer & electronic product mfg.,55,$3969191.01
201000A,424800,"Beer, wine, & distilled alcoholic beverage",78,$33492648.55
201400A,339110,Medical equipment & supplies mfg.,444,$288796758.00
201600A,445230,Fruit & vegetable markets,483,$1489432066.00
201000A,621510,Medical & diagnostic laboratories,355,$570201698.70
200800A,424700,Petroleum & petroleum products,59,$1853477230.00
200700A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),126,$326963461.00
201200A,485410,School & employee bus transportation,19,$25300.00
201200A,453910,Pet & pet supplies stores,151,$72089480.00
201700A,424940,Tobacco & tobacco products,16,$974004.00
201400A,423400,Professional & commercial equipment & supplies,1034,$1322576521.26
201400A,541213,Tax preparation services,1360,$211227705.00
200500A,423990,Other miscellaneous durable goods,958,$505620424.28
201300A,541600,"Management, scientific, & technical consulting services",10255,$2025751139.78
200600A,541214,Payroll services,29,$9114582.38
200800A,448110,Men's clothing stores,310,$86940147.00
201200A,523110,Investment bankers & securities dealers,89,$409525866.00
200600A,238340,Tile & terrazzo contractors,201,$45536025.00
201500A,448210,Shoe stores,511,$279040477.65
201100A,233320,Commercial and Institutional Building Construction (1997 NAICS),488,$708575116.00
201500A,531100,Lessors of real estate (including mini warehouses & self-storage units),39435,$13631022841.35
201500A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",783,$1543292142.16
200900A,511000,Publishing industries (except Internet),215,$186489136.00
201600A,235410,Masonry and Stone Contractors (1997 NAICS),103,$33541347.88
201100A,443130,Camera & photographic supplies stores,94,$14052926.00
201200A,423600,Electrical & electronic goods,1119,$1744282642.00
200500A,443112,"Radio, television, & other electronics stores",503,$275262957.36
200900A,453910,Pet & pet supplies stores,101,$57764314.70
201000A,541320,Landscape architecture services,812,$132959100.82
201700A,115310,Support activities for forestry,32,$7026832.00
201400A,115310,Support activities for forestry,751,$91680161.00
201300A,621330,Offices of mental health practitioners (except physicians),986,$86972943.01
201500A,812113,Nail salons,2499,$122686724.97
201500A,711210,Spectator sports (including professional sports clubs & racetrack operations),675,$805864240.91
200900A,488000,Support activities for transportation (including motor vehicle towing),865,$834332013.00
201100A,335000,"Electrical equipment, appliance, & component mfg.",360,$95565091.00
201600A,722300,Special food services (including food service contractors & caterers),2480,$697880787.27
200600A,451130,"Sewing, needlework, & piece goods stores",43,$17521950.00
201200A,424950,"Paint, varnish, & supplies",65,$100403276.00
201600A,238110,Poured concrete foundation & structure contractors,263,$358662520.28
201300A,531320,Offices of real estate appraisers,146,$10341363.00
200500A,233210,Single Family Housing Construction (1997 NAICS),3230,$902918346.98
201500A,561740,Carpet & upholstery cleaning services,652,$46578581.00
200500A,235910,Structural Steel Erection Contractors (1997 NAICS),61,$97798005.00
200600A,522200,Nondepository credit intermediation (including sales financing & consumer lending),354,$188877790.38
201500A,235210,Painting and Wall Covering Contractors (1997 NAICS),1897,$428874265.93
201600A,423400,Professional & commercial equipment & supplies,986,$1298448525.84
200600A,325100,Basic chemical mfg.,9,$12177997.00
201000A,532100,Automotive equipment rental & leasing,301,$617014763.28
200800A,541600,"Management, scientific, & technical consulting services",6512,$1536982750.35
201500A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",595,$311602701.01
201000A,423500,Metal & mineral (except petroleum),252,$254229310.00
201600A,522200,Nondepository credit intermediation (including sales financing & consumer lending),466,$293501671.92
201400A,561440,Collection agencies,125,$74348060.00
200700A,335000,"Electrical equipment, appliance, & component mfg.",117,$30223492.76
200500A,444130,Hardware stores,446,$661496073.46
200600A,423500,Metal & mineral (except petroleum),239,$326218945.00
200700A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",704,$285403897.00
200500A,446120,"Cosmetics, beauty supplies, & perfume stores",155,$47719508.00
201600A,424930,"Flower, nursery stock, & florists' supplies",595,$236421949.88
201300A,451211,Book stores,433,$104073358.60
201200A,423910,Sporting & recreational goods & supplies,258,$126790213.00
201600A,722110,Full-service restaurants,6672,$5479233953.68
201500A,424940,Tobacco & tobacco products,517,$103511692.00
201700A,451220,"Prerecorded tape, compact disc, & record stores",10,$394453.00
201000A,811110,Automotive mechanical & electrical repair & maintenance,1305,$111883466.00
201000A,811410,Home & garden equipment & appliance repair & maintenance,244,$15540337.75
200500A,487000,Scenic & sightseeing transportation,25,$2287685.00
201600A,234110,Highway and Street Construction (1997 NAICS),54,$220411259.00
201400A,811120,"Automotive body, paint, interior, & glass repair",611,$148052708.00
201600A,713100,Amusement parks & arcades,30,$19617692.00
201500A,621111,Offices of physicians (except mental health specialists),5802,$3373674318.69
200700A,541320,Landscape architecture services,687,$110000253.00
201100A,623000,Nursing & residential care facilities,484,$655501160.20
201400A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),445,$124697389.00
200700A,234110,Highway and Street Construction (1997 NAICS),31,$174175588.00
200700A,621330,Offices of mental health practitioners (except physicians),342,$23660218.00
200900A,518210,"Data processing, hosting, & related services",453,$319751315.00
201700A,621391,Offices of podiatrists,2,$0.00
200600A,561300,Employment services,5434,$1279211494.99
200800A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",550,$992786435.00
201200A,442200,Home furnishings stores,712,$514924187.00
201300A,325100,Basic chemical mfg.,31,$18374163.29
200900A,424990,Other miscellaneous nondurable goods,2804,$1778571837.19
